service_id,"name","category","service_code",addon_id,timeblock,role_id,base_price,schedule_id,status_code,create_admin,update_admin,"create_ts","update_ts",is_active
1000,"Mens Haircut","Haircuts","MEHC",NULL,45,1000,39.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
1010,"Womens Haircut","Haircuts","WOHC",NULL,45,1000,39.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
1020,"Childrens Haircut","Haircuts","CHHC",NULL,45,1000,32.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
2000,"Shampoo & Style","Styles","SHST",NULL,30,1000,30.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
2010,"Formal Styles","Styles","FOST",NULL,60,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3000,"Full Color Service","Color Services","COSE",NULL,90,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3010,"Full Highlight Service","Color Services","HISE",NULL,90,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3020,"Partial Color Service","Color Services","PCSE",NULL,90,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3030,"Partial Highlight Service","Color Services","PHSE",NULL,90,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3040,"Corective Color Service","Color Services","CCSE",NULL,60,1000,45.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
4000,"Perm","Chemical Services","PECS",NULL,90,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
4010,"Brazillian Blowout","Chemical Services","BBCS",NULL,180,1000,100.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
5000,"Deep Conditioning Treatment","Treatments","DCTR",NULL,45,1000,45.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
5010,"Clarifying Treatment","Treatments","CLTR",NULL,45,1000,35.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6000,"Manicure","Nail Services","MANS",NULL,60,1000,35.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6010,"Pedicure","Nail Services","PENS",NULL,60,1000,35.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6020,"Manicure & Pedicure","Nail Services","MPNS",NULL,120,1000,55.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6030,"Nail Repair","Nail Services","NRNS",NULL,15,1000,20.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6040,"Polish Change","Nail Services","PCNS",NULL,15,1000,25.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6050,"Silk Wrap","Nail Services","SWNS",NULL,90,1000,45.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6060,"Silk Wrap w/ Tips","Nail Services","STNS",NULL,120,1000,55.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7000,"Brow Wax","Waxing Services","BRWS",NULL,15,1000,15.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7010,"Lip Wax","Waxing Services","LIWS",NULL,15,1000,15.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7020,"Chin Wax","Waxing Services","CIWS",NULL,15,1000,15.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7030,"Back Wax","Waxing Services","BAWS",NULL,60,1000,45.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7040,"Chest Wax","Waxing Services","CHWS",NULL,60,1000,45.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7050,"Full Leg Wax","Waxing Services","FLWS",NULL,60,1000,50.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7060,"Bikini Wax","Waxing Services","BKWS",NULL,60,1000,55.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7070,"Brazillian Wax","Waxing Services","BRWS",NULL,60,1000,65.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7080,"Half Leg Wax","Waxing Services","HLWS",NULL,30,1000,25.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7090,"Under Arm Wax","Waxing Services","UAWS",NULL,30,1000,25.00,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
